潭子圓通南店,http://www.kebuke.com/proimages/card/Taichung/20%BC%E6%A4l%B6%EA%B3q%ABn.jpg,<p><span>以店名作為特色，取其諧音的「彈指神通」概念為主軸，將製茶歷程比喻作修練功夫絕學，強調「修練」的過程乃至「熟成」的成果，以蒼蠅代表細微之事，一面手指相向之，表示即便練就神通之力，依然專注於細節；彈指則代表時間極小單位，表示瞬息間的神通成果，付出是背後十年功夫，著重在只要有心至致，人人都能通神功。<\/span><\/p>
台中向上店,http://www.kebuke.com/proimages/card/Taichung/1%C1%60%A9%B1_%A5x%A4%A4%A6V%A4W.jpg,<p><span>可不可品牌再出發，重新和大家見面的一張店卡，不同的茶種風味與煥然一新的裝潢，給了人全新印象及體驗。<\/span><\/p><p><span>熟不熟？他一直就是你味覺熟悉的轉角一字號。<\/span><\/p>
台中青海店,http://www.kebuke.com/proimages/card/Taichung/2%A5x%A4%A4%ABC%AE%FC.jpg,<p><span>車水馬龍的三岔路口，白天是充滿學區上下課的活力感，中午是附近商辦的上班族午間時光，網上則又是三五好友流連忘返的宵夜場所。<\/span><\/p><p><span>這杯，敬無論何種原因，路過的你，也敬這條繁華之路，大家都辛苦了。<\/span><\/p>
台中一中店,http://www.kebuke.com/proimages/card/Taichung/3%A5x%A4%A4%A4%40%A4%A4.jpg,<p><span>考量當地消費群，綜合學生、觀光，以及中部最大World Gym轉角，店卡使用了學生漫畫的「糖分」梗，以及類似操作著健身器材的西洋插畫。中西風格混出浪漫之可不可獨樹一格，與附近連鎖茶飲做出區隔。<\/span><\/p>
台中工學店,http://www.kebuke.com/proimages/card/Taichung/4%A5x%A4%A4%A4u%BE%C7.jpg,<p><span>台語的一句「呷飽沒」總是最快拉近彼此距離，鄰居間最溫暖的問候。<\/span><\/p><p><span>可不可進駐南區，不免想將濃濃人情味帶給當地，然而風情要有，紳士風度和矜持也不可少，套上標準閩南語教學的逐字翻譯，以及羅馬拼音的假性專業，其實，我們只是關心你，別渴到啊！<\/span><\/p>
逢甲福星店,http://www.kebuke.com/proimages/card/Taichung/5%B3%7B%A5%D2%BA%D6%ACP.jpg,<p><span>逢甲店適逢2017年5月開幕，母親節的裙帶效應下，星星知我心的主題誕生。身為人母，數年前也曾是個情竇初開，備受呵護的少女，也如對茶一見鍾情，終身不渝，只願你能細細品嘗一杯。<\/span><\/p>
大里成功店,http://www.kebuke.com/proimages/card/Taichung/.jpg,<p><span>少女心的店卡外，當然也要適時有品牌帥氣的雄姿表現，取「大里」和「達利」之諧音，以及達利生前名言釋義「我就是會讓你迷戀的物品」。<\/span><\/p>
東海遊園店,http://www.kebuke.com/proimages/card/Taichung/7%AAF%AE%FC%B9C%B6%E9.jpg,<p><span>比鄰於全台中占地最廣的大學學區，在盛夏時期正式開幕的遊園店，烈日高溫襲擊之下，防曬和消暑不可或缺，以其獨特又趣味的路名「遊園路」，和備受年輕學子關注之流行歌手所創《園遊會》一曲串聯，和歌詞中「我頂著大太陽，只想為你&hellip;」兩相呼應，店卡融入相關元素，不僅為你撐傘避陽，也為你解渴消暑。<\/span><\/p>
西屯中科店,http://www.kebuke.com/proimages/card/Taichung/8%A6%E8%A4%D9%A4%A4%AC%EC.jpg,<p><span>台中各大科技產業的聚落──中部科學園區，匯集了各色工程科技人員們，這次展現了屬於大人的玩心，用巨大玩具機器人之姿作為象徵，模擬成了復古的怪獸特攝電影場景，從自體發射出強力雷射激光，一擊粉碎中科方圓百里內的口渴之苦，步步佔領中科一帶的心。<\/span><\/p>
沙鹿中山店,http://www.kebuke.com/proimages/card/Taichung/9%A8F%B3%C0%A4%A4%A4s.jpg,<p><span>台中海線地區代表人物聞名遐邇，以在地某次候選人競選標語一時蔚為話題延伸引用，讓在地居民一看到便心有靈犀，並將正在操作器械的挽袖中年人作為主體，代表著我們在這一小店鋪裡肯勤實作、不分寒暑使出渾身解數沒有二話，一切汗水只為了讓人汲取一杯良飲。<\/span><\/p>
